Country,Value,Year
Austria,16.5416394,2021
Austria,16.5416394,2020
Austria,16.5416394,2019
Austria,17.54940497,2018
Austria,17.43443916,2017
Austria,17.39610617,2016
Austria,18.14284631,2015
Austria,17.32020169,2014
Austria,15.8942319,2013
Austria,16.66326686,2012
Austria,17.39866726,2011
Austria,17.17846191,2010
Austria,17.54959574,2009
Austria,17.21534785,2008
Austria,17.31913871,2007
Austria,14.61934234,2006
Austria,14.71253641,2005
Austria,15.36111031,2004
Austria,14.93945221,2003
Austria,14.93945221,2002
Austria,14.49724848,2001
Austria,14.49724848,2000
Belgium,14.33834031,2021
Belgium,14.33834031,2020
Belgium,14.33834031,2019
Belgium,15.24334441,2018
Belgium,15.37574253,2017
Belgium,16.2934439,2016
Belgium,16.81391836,2015
Belgium,16.31365435,2014
Belgium,15.69525209,2013
Belgium,15.35569421,2012
Belgium,16.16098801,2011
Belgium,15.06141152,2010
Belgium,14.9754016,2009
Belgium,14.99172397,2008
Belgium,15.0065755,2007
Belgium,15.02126019,2006
Belgium,14.32119515,2005
Belgium,15.47634988,2004
Belgium,15.83040724,2003
Belgium,15.83040724,2002
Belgium,12.92788491,2001
Belgium,12.92788491,2000
Bulgaria,20.63423247,2021
Bulgaria,20.63423247,2020
Bulgaria,20.63423247,2019
Bulgaria,19.92854825,2018
Bulgaria,20.64419293,2017
Bulgaria,21.45431882,2016
Bulgaria,21.42150376,2015
Bulgaria,20.56796906,2014
Bulgaria,20.85999207,2013
Bulgaria,20.32892807,2012
Bulgaria,19.89689455,2011
Bulgaria,21.23453657,2010
Bulgaria,19.98032081,2009
Bulgaria,18.86493427,2008
Bulgaria,15.58303317,2007
Bulgaria,21.08918276,2006
Bulgaria,21.08918276,2005
Bulgaria,13.94466213,2004
Bulgaria,13.94466213,2003
Bulgaria,13.94466213,2002
Bulgaria,19.18487733,2001
Bulgaria,19.18487733,2000
Croatia,17.03912885,2021
Croatia,17.03912885,2020
Croatia,17.03912885,2019
Croatia,17.93985035,2018
Croatia,19.0859468,2017
Croatia,19.75406242,2016
Croatia,20.37695285,2015
Croatia,20.82567303,2014
Croatia,20.8135901,2013
Croatia,19.98225876,2012
Croatia,20.84353705,2011
Croatia,13.68287628,2010
Croatia,16.07013488,2009
Croatia,15.88168153,2008
Croatia,14.98640009,2007
Croatia,14.98640009,2006
Croatia,14.98640009,2005
Croatia,14.98640009,2004
Croatia,17.34051758,2003
Croatia,17.34051758,2002
Croatia,17.34051758,2001
Croatia,16.8279248,2000
Cyprus,14.54051246,2021
Cyprus,14.54051246,2020
Cyprus,14.54051246,2019
Cyprus,14.20213938,2018
Cyprus,15.61848733,2017
Cyprus,15.28336917,2016
Cyprus,16.45381286,2015
Cyprus,16.42098281,2014
Cyprus,15.1225379,2013
Cyprus,15.20725851,2012
Cyprus,13.59097794,2011
Cyprus,14.17908723,2010
Cyprus,14.33834468,2009
Cyprus,14.97138543,2008
Cyprus,14.30002498,2007
Cyprus,13.96772736,2006
Cyprus,13.84849753,2005
Cyprus,14.60506695,2004
Cyprus,14.60506695,2003
Cyprus,14.60506695,2002
Cyprus,14.60506695,2001
Cyprus,14.60506695,2000
Czechia,9.011693576,2021
Czechia,9.011693576,2020
Czechia,9.011693576,2019
Czechia,9.117349517,2018
Czechia,9.35915896,2017
Czechia,9.893298951,2016
Czechia,10.89767635,2015
Czechia,11.06555033,2014
Czechia,12.30497101,2013
Czechia,12.54745634,2012
Czechia,13.1450055,2011
Czechia,12.75726811,2010
Czechia,11.12779758,2009
Czechia,10.4838488,2008
Czechia,10.88695265,2007
Czechia,12.44747868,2006
Czechia,13.35419567,2005
Czechia,13.37702,2004
Czechia,12.96936316,2003
Czechia,12.96936316,2002
Czechia,12.96936316,2001
Czechia,12.96936316,2000
Denmark,10.72649379,2021
Denmark,10.72649379,2020
Denmark,10.72649379,2019
Denmark,12.14312959,2018
Denmark,12.37569245,2017
Denmark,12.16507282,2016
Denmark,10.75726647,2015
Denmark,11.20389757,2014
Denmark,12.02768615,2013
Denmark,10.8475829,2012
Denmark,11.28480195,2011
Denmark,11.62252911,2010
Denmark,12.27619899,2009
Denmark,10.41435499,2008
Denmark,10.14723208,2007
Denmark,10.10743714,2006
Denmark,10.28595345,2005
Denmark,10.71714272,2004
Denmark,10.92918143,2003
Denmark,9.748441946,2002
Denmark,9.748441946,2001
Denmark,9.748441946,2000
Estonia,14.74118537,2021
Estonia,14.74118537,2020
Estonia,14.74118537,2019
Estonia,15.48169592,2018
Estonia,15.43435891,2017
Estonia,15.12351254,2016
Estonia,15.52431292,2015
Estonia,16.57879694,2014
Estonia,16.7419284,2013
Estonia,16.35570405,2012
Estonia,16.40241886,2011
Estonia,17.40342343,2010
Estonia,16.18327241,2009
Estonia,15.28908865,2008
Estonia,15.08380622,2007
Estonia,15.54790119,2006
Estonia,16.06662692,2005
Estonia,20.58251138,2004
Estonia,19.67753193,2003
Estonia,20.02463903,2002
Estonia,18.87525207,2001
Estonia,19.77887026,2000
Finland,12.98154305,2021
Finland,12.98154305,2020
Finland,12.98154305,2019
Finland,12.28162963,2018
Finland,12.24828359,2017
Finland,12.19280601,2016
Finland,12.19473342,2015
Finland,12.08609306,2014
Finland,12.59816217,2013
Finland,12.0121565,2012
Finland,12.28918614,2011
Finland,12.44992207,2010
Finland,12.39444249,2009
Finland,11.77824057,2008
Finland,12.57079514,2007
Finland,12.65823694,2006
Finland,11.65031414,2005
Finland,11.72972911,2004
Finland,12.0488198,2003
Finland,11.73806779,2002
Finland,11.73806779,2001
Finland,11.73806779,2000
France,15.95612129,2021
France,15.95612129,2020
France,15.95612129,2019
France,15.95612129,2018
France,16.40279519,2017
France,16.7361363,2016
France,16.99148046,2015
France,16.74525124,2014
France,16.12920059,2013
France,16.77179695,2012
France,16.2533772,2011
France,17.21450488,2010
France,17.27724675,2009
France,16.88415486,2008
France,15.59227107,2007
France,15.8835602,2006
France,14.82879528,2005
France,15.57082901,2004
France,15.54588406,2003
France,16.99786733,2002
France,16.99786733,2001
France,16.99786733,2000
Germany,16.9999775,2021
Germany,16.9999775,2020
Germany,16.9999775,2019
Germany,16.9999775,2018
Germany,16.99758852,2017
Germany,17.74678404,2016
Germany,16.99845492,2015
Germany,16.49810446,2014
Germany,16.74937081,2013
Germany,16.24474523,2012
Germany,15.49953594,2011
Germany,15.99760357,2010
Germany,15.49353759,2009
Germany,14.74177726,2008
Germany,15.4872939,2007
Germany,15.24752576,2006
Germany,15.74236351,2005
Germany,14.72619079,2004
Germany,14.99017055,2003
Germany,14.48373349,2002
Germany,14.48091422,2001
Germany,14.49553293,2000
Greece,20.78733506,2021
Greece,20.78733506,2020
Greece,20.78733506,2019
Greece,20.71249285,2018
Greece,21.55065202,2017
Greece,22.21746288,2016
Greece,23.58262395,2015
Greece,23.20018843,2014
Greece,23.87095906,2013
Greece,24.3802022,2012
Greece,23.418371,2011
Greece,21.62805955,2010
Greece,19.94269584,2009
Greece,19.52030017,2008
Greece,20.66219728,2007
Greece,21.82918755,2006
Greece,20.16464222,2005
Greece,20.2626934,2004
Greece,20.37074982,2003
Greece,20.37074982,2002
Greece,20.37074982,2001
Greece,22.22447358,2000
Hungary,19.59022065,2021
Hungary,19.59022065,2020
Hungary,19.59022065,2019
Hungary,16.18361809,2018
Hungary,17.19504376,2017
Hungary,19.36119548,2016
Hungary,18.06594807,2015
Hungary,19.60261563,2014
Hungary,19.17248246,2013
Hungary,19.02424331,2012
Hungary,17.17477616,2011
Hungary,17.69948238,2010
Hungary,16.54922652,2009
Hungary,16.23157408,2008
Hungary,14.85771036,2007
Hungary,15.13431204,2006
Hungary,16.31028171,2005
Hungary,15.44393884,2004
Hungary,17.12129357,2003
Hungary,13.29497348,2002
Hungary,13.10844904,2001
Hungary,12.22606424,2000
Ireland,13.65255126,2021
Ireland,13.65255126,2020
Ireland,13.65255126,2019
Ireland,13.65255126,2018
Ireland,14.83395312,2017
Ireland,15.407035,2016
Ireland,16.39310552,2015
Ireland,16.77917411,2014
Ireland,19.04198966,2013
Ireland,19.00209472,2012
Ireland,17.99013488,2011
Ireland,17.89808996,2010
Ireland,17.7442313,2009
Ireland,15.53208763,2008
Ireland,15.66634613,2007
Ireland,16.57290243,2006
Ireland,16.67126044,2005
Ireland,17.44100984,2004
Ireland,17.93876628,2003
Ireland,16.9950034,2002
Ireland,17.45420894,2001
Ireland,17.45420894,2000
Italy,21.54270577,2021
Italy,21.54270577,2020
Italy,21.54270577,2019
Italy,21.54270577,2018
Italy,22.62657989,2017
Italy,22.32907662,2016
Italy,22.75043181,2015
Italy,21.5936717,2014
Italy,21.37606253,2013
Italy,21.23340789,2012
Italy,21.03431372,2011
Italy,20.45792309,2010
Italy,20.23682535,2009
Italy,20.53014791,2008
Italy,19.91103949,2007
Italy,20.36045005,2006
Italy,20.63614141,2005
Italy,19.98115212,2004
Italy,20.29652849,2003
Italy,21.49276425,2002
Italy,21.49276425,2001
Italy,21.49276425,2000
Latvia,17.77847761,2021
Latvia,17.77847761,2020
Latvia,17.77847761,2019
Latvia,18.74695236,2018
Latvia,19.04222211,2017
Latvia,18.82819548,2016
Latvia,17.1276821,2015
Latvia,18.22747912,2014
Latvia,18.45372026,2013
Latvia,20.13817261,2012
Latvia,20.52105951,2011
Latvia,22.44950909,2010
Latvia,20.36381145,2009
Latvia,21.57067569,2008
Latvia,19.68337388,2007
Latvia,17.14609819,2006
Latvia,19.25847391,2005
Latvia,19.91442704,2004
Latvia,17.93698628,2003
Latvia,19.21175375,2002
Latvia,19.21175375,2001
Latvia,19.21175375,2000
Lithuania,18.75768379,2021
Lithuania,18.75768379,2020
Lithuania,18.75768379,2019
Lithuania,18.67736973,2018
Lithuania,19.44578537,2017
Lithuania,21.78696246,2016
Lithuania,19.41671053,2015
Lithuania,20.79119235,2014
Lithuania,19.57832717,2013
Lithuania,20.37847194,2012
Lithuania,19.66443603,2011
Lithuania,22.631489,2010
Lithuania,21.97962032,2009
Lithuania,20.37158623,2008
Lithuania,18.02994619,2007
Lithuania,17.00191522,2006
Lithuania,19.85463982,2005
Lithuania,19.47985448,2004
Lithuania,19.43464819,2003
Lithuania,18.29402636,2002
Lithuania,17.92314402,2001
Lithuania,18.32677243,2000
Luxembourg,20.71574214,2021
Luxembourg,20.71574214,2020
Luxembourg,20.71574214,2019
Luxembourg,21.2395945,2018
Luxembourg,21.17916984,2017
Luxembourg,18.43816582,2016
Luxembourg,18.55798346,2015
Luxembourg,17.78567346,2014
Luxembourg,19.69897399,2013
Luxembourg,20.65255374,2012
Luxembourg,19.78681796,2011
Luxembourg,18.39945846,2010
Luxembourg,19.54044632,2009
Luxembourg,17.72984273,2008
Luxembourg,16.60617651,2007
Luxembourg,16.76031371,2006
Luxembourg,16.59870506,2005
Luxembourg,16.71457908,2004
Luxembourg,15.67914897,2003
Luxembourg,15.7346244,2002
Luxembourg,15.7346244,2001
Luxembourg,15.7346244,2000
Malta,14.92256662,2021
Malta,14.92256662,2020
Malta,14.92256662,2019
Malta,16.52749839,2018
Malta,16.3778715,2017
Malta,15.45511403,2016
Malta,16.00492286,2015
Malta,16.2532258,2014
Malta,15.36181072,2013
Malta,16.76120706,2012
Malta,16.82450727,2011
Malta,16.76041361,2010
Malta,16.98769356,2009
Malta,17.40933725,2008
Malta,17.32997172,2007
Malta,16.27832019,2006
Malta,16.27832019,2005
Malta,16.27832019,2004
Malta,16.27832019,2003
Malta,16.27832019,2002
Malta,16.27832019,2001
Malta,16.27832019,2000
Netherlands,14.70844083,2021
Netherlands,14.70844083,2020
Netherlands,14.70844083,2019
Netherlands,13.89248431,2018
Netherlands,13.63210801,2017
Netherlands,14.07584858,2016
Netherlands,13.74873063,2015
Netherlands,13.60360195,2014
Netherlands,13.86315937,2013
Netherlands,13.07935581,2012
Netherlands,13.75812438,2011
Netherlands,14.32162054,2010
Netherlands,14.46983583,2009
Netherlands,14.01013772,2008
Netherlands,13.38532332,2007
Netherlands,13.67280112,2006
Netherlands,14.00428213,2005
Netherlands,14.62355353,2004
Netherlands,14.62355353,2003
Netherlands,14.62355353,2002
Netherlands,14.62355353,2001
Netherlands,14.62355353,2000
Poland,14.73585474,2021
Poland,14.73585474,2020
Poland,14.73585474,2019
Poland,15.43578364,2018
Poland,15.65298664,2017
Poland,15.94779706,2016
Poland,17.20427079,2015
Poland,18.11231663,2014
Poland,17.52355771,2013
Poland,17.23558496,2012
Poland,17.98940182,2011
Poland,17.39161272,2010
Poland,17.50448736,2009
Poland,17.85949789,2008
Poland,17.92823973,2007
Poland,18.39384757,2006
Poland,18.65210037,2005
Poland,20.2433051,2004
Poland,19.56942084,2003
Poland,18.2735961,2002
Poland,17.74796114,2001
Poland,17.69747788,2000
Portugal,16.21080192,2021
Portugal,16.21080192,2020
Portugal,16.21080192,2019
Portugal,16.97441603,2018
Portugal,17.10524947,2017
Portugal,17.49896855,2016
Portugal,19.41784363,2015
Portugal,19.2069003,2014
Portugal,20.12648467,2013
Portugal,18.44331551,2012
Portugal,17.6961483,2011
Portugal,17.91434781,2010
Portugal,18.3377926,2009
Portugal,18.76248023,2008
Portugal,19.09266944,2007
Portugal,17.32418006,2006
Portugal,16.66737289,2005
Portugal,18.4159696,2004
Portugal,19.35893825,2003
Portugal,19.35893825,2002
Portugal,19.35893825,2001
Portugal,19.35893825,2000
Romania,25.14747636,2021
Romania,25.14747636,2020
Romania,25.14747636,2019
Romania,16.63810623,2018
Romania,25.83698353,2017
Romania,17.40846595,2016
Romania,25.43813772,2015
Romania,26.29175408,2014
Romania,15.84959062,2013
Romania,15.6613564,2012
Romania,15.58522912,2011
Romania,16.47538899,2010
Romania,15.9914802,2009
Romania,16.8683811,2008
Romania,17.14197385,2007
Romania,17.15733221,2006
Romania,16.73229578,2005
Romania,17.3365864,2004
Romania,16.65267302,2003
Romania,17.41093235,2002
Romania,16.63952911,2001
Romania,16.10501999,2000
Slovakia,13.09040581,2021
Slovakia,13.09040581,2020
Slovakia,13.09040581,2019
Slovakia,14.83837284,2018
Slovakia,13.94758222,2017
Slovakia,14.50617403,2016
Slovakia,15.81186683,2015
Slovakia,15.90904592,2014
Slovakia,16.34566992,2013
Slovakia,15.83929579,2012
Slovakia,15.42016611,2011
Slovakia,15.06603979,2010
Slovakia,10.45199923,2009
Slovakia,10.94351886,2008
Slovakia,11.13909861,2007
Slovakia,11.62971132,2006
Slovakia,14.36033809,2005
Slovakia,12.88545848,2004
Slovakia,12.88545848,2003
Slovakia,12.88545848,2002
Slovakia,12.88545848,2001
Slovakia,12.88545848,2000
Slovenia,10.97297456,2021
Slovenia,10.97297456,2020
Slovenia,10.97297456,2019
Slovenia,10.61562791,2018
Slovenia,11.8033928,2017
Slovenia,12.9097839,2016
Slovenia,13.00629233,2015
Slovenia,13.16988122,2014
Slovenia,13.77499941,2013
Slovenia,12.86968861,2012
Slovenia,12.49600023,2011
Slovenia,11.97413741,2010
Slovenia,11.42858772,2009
Slovenia,10.52755333,2008
Slovenia,11.24590933,2007
Slovenia,11.55953202,2006
Slovenia,11.4533732,2005
Slovenia,11.55795541,2004
Slovenia,17.81421552,2003
Slovenia,15.22130963,2002
Slovenia,15.22130963,2001
Slovenia,15.22130963,2000
Spain,22.03809904,2021
Spain,22.03809904,2020
Spain,22.03809904,2019
Spain,22.11929333,2018
Spain,22.86749615,2017
Spain,23.31050961,2016
Spain,23.59794907,2015
Spain,23.5201877,2014
Spain,24.28251993,2013
Spain,22.82785155,2012
Spain,23.10517039,2011
Spain,21.93591555,2010
Spain,21.20499658,2009
Spain,21.35274824,2008
Spain,20.6390647,2007
Spain,20.27367316,2006
Spain,19.74029884,2005
Spain,20.29986012,2004
Spain,19.9552211,2003
Spain,19.47889664,2002
Spain,19.47889664,2001
Spain,19.47889664,2000
Sweden,15.42698279,2021
Sweden,15.42698279,2020
Sweden,15.42698279,2019
Sweden,15.68241104,2018
Sweden,14.76274942,2017
Sweden,15.51854642,2016
Sweden,14.92616364,2015
Sweden,14.52490533,2014
Sweden,15.61831188,2013
Sweden,14.10522228,2012
Sweden,13.99601744,2011
Sweden,14.17247674,2010
Sweden,14.38029157,2009
Sweden,14.0709354,2008
Sweden,13.85494626,2007
Sweden,12.9269223,2006
Sweden,14.09618646,2005
Sweden,12.16682783,2004
Sweden,12.88315969,2003
Sweden,12.49960829,2002
Sweden,12.49960829,2001
Sweden,12.49960829,2000
